,지하철역,평일당일권,2시간권,3시간권,4시간권,평일5시간권,6시간권,12시간권,주간권,공유 주차장,월주차,평일심야권
60,명동역,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,을지로입구역,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220000.0,0.0
62,을지로입구역,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242000.0,0.0
63,종각역,15000.0,0.0,7000.0,0.0,9000.0,0.0,0.0,0.0,0.0,200000.0,0.0
64,종각역,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,광화문역,14500.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,1200.0,242000.0,0.0
66,경복궁역,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,안국역,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0
68,종로3가역,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0
69,종로3가역,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,종로5가역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,을지로3가역,7700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
72,을지로4가역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,충무로역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,동대입구역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,동대문역사문화공원역,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,200000.0,0.0
76,용산역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,이태원역,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220000.0,0.0
78,한강진역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,한남역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,옥수역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,버티고개역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,약수역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,금호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,청구역,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,신금호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,동대문역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,신당역,0.0,0.0,4500.0,0.0,0.0,0.0,12500.0,0.0,0.0,180000.0,0.0
88,동묘앞역,15000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,상왕십리역,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
90,신설동역,15000.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,신설동역,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,창신역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,혜화역,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
94,혜화역,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,한성대입구역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,성신여대입구역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,정릉역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,북한산보국문역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
99,길음역,9500.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,보문역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
101,안양역,8800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,고려대역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
103,월곡역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
