,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,days,day_type,month,How_long
938,Polo Ralph Lauren,basic pattern sweater ivory,a1150497,2021-03-23,2021-03-26,4days,T,Y,금요일,주중,03,3
939,Celine,trio bag black,a1150762,2021-03-25,2021-03-26,7days,BA,Y,금요일,주중,03,1
940,Allsaints,button stripe pattern shirts white,a114984,2019-01-26,2021-03-26,7days,T,Y,금요일,주중,03,790
941,Saint Laurent,monogram mini universal bag black,a1150675,2021-03-24,2021-03-26,7days,BA,Y,금요일,주중,03,2
942,Mixed,cut out detail button pointed top & stripe pattern flared long skirt,a1150675,2021-03-24,2021-03-26,7days,TP,Y,금요일,주중,03,2
943,Alexander Wang,pocket lettering pattern hoodie black,a1150675,2021-03-24,2021-03-26,7days,T,Y,금요일,주중,03,2
944,Gucci,flap cross bag black,a1150885,2021-03-26,2021-03-26,7days,BA,Y,금요일,주중,03,0
945,Gucci,flower dionysus shoulder bag beige,a156236,2019-11-15,2021-03-26,4days,BA,Y,금요일,주중,03,497
946,Saint Laurent,monogram cross body bag black,a1150884,2021-03-26,2021-03-26,7days,BA,Y,금요일,주중,03,0
947,Hackesch,one button short wool coat,a1150443,2021-03-23,2021-03-26,7days,O,Y,금요일,주중,03,3
948,Nain,pleats ribbon dress pink,a1148251,2021-03-04,2021-03-26,4days,D,Y,금요일,주중,03,22
949,Gucci,unique vintage web mini cross bag,a1150597,2021-03-24,2021-03-25,7days,BA,Y,목요일,주중,03,1
950,Yves Saint Laurent,belle de jour clutch red,a1143869,2021-01-20,2021-03-25,4days,BA,Y,목요일,주중,03,64
951,Jucy Judy,check pattern point trench coat,a1150808,2021-03-25,2021-03-25,7days,O,Y,목요일,주중,03,0
952,And You,button basic pattern A-Line shirt-dress deeppink,a16232,2018-08-05,2021-03-25,4days,D,Y,목요일,주중,03,963
953,Mixed,button stripe pattern wool jacket black & pocket stripe pattern wool slacks black,a1124921,2020-10-17,2021-03-25,4days,TP,Y,목요일,주중,03,159
954,Gucci,dionysos velvet chain shoulder bag navy,a1150835,2021-03-25,2021-03-25,7days,BA,Y,목요일,주중,03,0
955,Thom Browne,button stripe pattern wool cardigan black,a1148402,2021-03-06,2021-03-25,4days,O,Y,목요일,주중,03,19
956,Celine,luggage nano bag deep dark brown,a1150825,2021-03-25,2021-03-25,4days,BA,N,목요일,주중,03,0
957,Gucci,monogram strap cross bag brown,a1150376,2021-03-22,2021-03-25,7days,BA,Y,목요일,주중,03,3
958,Louis Vuitton,epi tote bag black,a1150823,2021-03-25,2021-03-25,7days,BA,N,목요일,주중,03,0
959,Gucci,logo pointed cross bag,a1150816,2021-03-25,2021-03-25,4days,BA,Y,목요일,주중,03,0
960,Sandro,pleats basic pattern A-Line dress beige,a158089,2019-11-24,2021-03-25,4days,D,Y,목요일,주중,03,487
961,Valentino,printing lettering pattern t-shirts black,a134193,2019-07-21,2021-03-25,4days,T,Y,목요일,주중,03,613
962,It michaa,button tweed pattern A-Line dress navy,a1150465,2021-03-23,2021-03-25,4days,D,Y,목요일,주중,03,2
963,Fendi,ff logo point tote bag,a194306,2020-04-06,2021-03-25,4days,BA,Y,목요일,주중,03,353
964,Prada,medium Nylon Backpack red,a1150796,2021-03-25,2021-03-25,7days,BA,Y,목요일,주중,03,0
965,Delvaux,brillant GM satchel bag,a1150699,2021-03-24,2021-03-25,7days,BA,Y,목요일,주중,03,1
966,Sorry Too Much Love,ruffle basic pattern blouse black,a1109404,2020-07-27,2021-03-25,4days,T,Y,목요일,주중,03,241
967,Louis Vuitton,monogram clutch brown,a1150091,2021-03-20,2021-03-25,4days,BA,Y,목요일,주중,03,5
968,Saint Laurent,cassandre monogram clutch black,a1150780,2021-03-25,2021-03-25,4days,BA,N,목요일,주중,03,0
969,Christian Dior,bobby bag black,a195023,2020-04-09,2021-03-25,7days,BA,Y,목요일,주중,03,350
970,Dint,side pocket wedding dress ivory,a14279,2018-04-17,2021-03-25,4days,D,Y,목요일,주중,03,1073
971,Bottega Veneta,intrecciato clutch bag black,a1150769,2021-03-25,2021-03-25,7days,BA,N,목요일,주중,03,0
972,Burberry,hook detail trench coat beige,a1149812,2021-03-17,2021-03-25,4days,O,Y,목요일,주중,03,8
973,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,목요일,주중,03,38
974,Louis Vuitton,vanity bag brown,a1112556,2020-08-16,2021-03-25,7days,BA,Y,목요일,주중,03,221
975,Chanel,matelasse mademoiselle clutch bag black,a1150734,2021-03-24,2021-03-25,7days,BA,Y,목요일,주중,03,1
976,Saint Laurent,quilted shoulder bag black,a1150730,2021-03-24,2021-03-24,7days,BA,Y,수요일,주중,03,0
977,Rebecca Minkoff,quilted studs crossbody bag,a1150279,2021-03-21,2021-03-24,7days,BA,Y,수요일,주중,03,3
978,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,수요일,주중,03,273
979,Louis Vuitton,monogram shoulder bag black,a1150668,2021-03-24,2021-03-24,7days,BA,Y,수요일,주중,03,0
980,Dolce & Gabbana,lace detail tweed jacket ivory,a1144825,2021-01-28,2021-03-24,4days,O,Y,수요일,주중,03,55
981,Louis Vuitton,monogram clutch brown,a1150711,2021-03-24,2021-03-24,7days,BA,Y,수요일,주중,03,0
982,Saint Laurent,sac de jour tote pink,a1149893,2021-03-18,2021-03-24,4days,BA,Y,수요일,주중,03,6
983,ACNE STUDIOS,stripe pattern coat white,a1132521,2020-11-23,2021-03-24,4days,O,Y,수요일,주중,03,121
984,Dior,pocket basic pattern tank top tank-top navy,a1132521,2020-11-23,2021-03-24,4days,T,Y,수요일,주중,03,121
985,Balenciaga,pocket stripe pattern slacks black,a1132521,2020-11-23,2021-03-24,4days,B,Y,수요일,주중,03,121
986,Gucci,flap cross bag black,a1150521,2021-03-23,2021-03-24,4days,BA,Y,수요일,주중,03,1
987,Chanel,patent small beige,a1102611,2020-05-31,2021-03-24,4days,BA,Y,수요일,주중,03,297
988,Saint Laurent,chevron quilted cross bag black,a193947,2020-04-05,2021-03-24,4days,BA,Y,수요일,주중,03,353
989,Mixed,embossing detail crop jacket & pleats detail patterned skirt,a174425,2020-01-16,2021-03-24,4days,TP,Y,수요일,주중,03,433
990,Diane von Furstenberg,ribbon flower pattern H-Line gown-dress nude,a1150558,2021-03-23,2021-03-24,4days,D,Y,수요일,주중,03,1
991,Chanel,classic clutch green,a1150683,2021-03-24,2021-03-24,7days,BA,Y,수요일,주중,03,0
992,Burberry,printing lettering pattern singlebreasted-coat beige,a1150684,2021-03-24,2021-03-24,7days,O,Y,수요일,주중,03,0
993,Louis Vuitton,monogram tote bag brown,a1150588,2021-03-23,2021-03-24,7days,BA,N,수요일,주중,03,1
994,Louis Vuitton,chain pattern twist cross bag,a1150183,2021-03-21,2021-03-24,7days,BA,Y,수요일,주중,03,3
995,Max Mara,belt basic pattern wool coat brown,a1112097,2020-08-15,2021-03-24,4days,O,Y,수요일,주중,03,221
996,Bar Bour,geometric pattern sweater beige,a189404,2020-03-20,2021-03-24,4days,T,Y,수요일,주중,03,369
997,Andersson Bell,slit basic pattern sweater beige,a189404,2020-03-20,2021-03-24,4days,T,Y,수요일,주중,03,369
998,Paul Smith,button check pattern wool slacks brown,a189404,2020-03-20,2021-03-24,4days,B,Y,수요일,주중,03,369
999,Cos,basic pattern dress black,a189404,2020-03-20,2021-03-24,4days,D,Y,수요일,주중,03,369
1000,Moia,pocket basic pattern wool slacks cream,a189404,2020-03-20,2021-03-24,4days,B,Y,수요일,주중,03,369
1001,Nain,button basic pattern blouse green,a189404,2020-03-20,2021-03-24,4days,T,Y,수요일,주중,03,369
1002,Hacie,pocket basic pattern chino-pants beige,a189404,2020-03-20,2021-03-24,4days,B,Y,수요일,주중,03,369
1003,Your Name Here,check pattern mermaid trumpet-skirt grey,a1150273,2021-03-21,2021-03-24,4days,B,Y,수요일,주중,03,3
1004,Yves Saint Laurent,chevron pattern chain bag beige,a1150662,2021-03-24,2021-03-24,4days,BA,Y,수요일,주중,03,0
1005,Gucci,ophidia GG mini bag,a1149969,2021-03-19,2021-03-24,4days,BA,Y,수요일,주중,03,5
1006,Balenciaga,motor city giant yellow,a1150599,2021-03-24,2021-03-24,4days,BA,Y,수요일,주중,03,0
1007,Gucci,color block pattern wool sweater pink,a1150343,2021-03-22,2021-03-24,4days,T,Y,수요일,주중,03,2
1008,Gucci,padlock GG canvas chain bag 2,a122247,2019-05-08,2021-03-24,4days,BA,Y,수요일,주중,03,686
1009,Ruhm,button check pattern H-Line jumper-dress grey,a1149051,2021-03-12,2021-03-24,4days,D,Y,수요일,주중,03,12
1010,Gucci,microssima emily shoulder bag black,a1150589,2021-03-23,2021-03-24,4days,BA,Y,수요일,주중,03,1
1011,Michael Michael Kors,strap basic pattern trench-coat black,a1150539,2021-03-23,2021-03-24,4days,O,Y,수요일,주중,03,1
1012,El estilo de Claire,gather basic pattern top black,a1150539,2021-03-23,2021-03-24,4days,T,Y,수요일,주중,03,1
1013,Alexander Mcqueen,basic pattern wool skirt black,a1150539,2021-03-23,2021-03-24,4days,B,Y,수요일,주중,03,1
1014,Sandro,buckle basic pattern slacks black,a1150300,2021-03-22,2021-03-24,4days,B,Y,수요일,주중,03,2
1015,Nohant,color block pattern turtle neck turtleneck grey,a1150300,2021-03-22,2021-03-24,4days,T,Y,수요일,주중,03,2
1016,Saint Laurent,monogram cross body bag black,a1150300,2021-03-22,2021-03-24,4days,BA,Y,수요일,주중,03,2
1017,Prada,new vit daino shopper bag black,a1145089,2021-02-01,2021-03-24,7days,BA,Y,수요일,주중,03,51
1018,Burberry,belt basic pattern coat pink,a1150608,2021-03-24,2021-03-24,7days,O,Y,수요일,주중,03,0
1019,It michaa,belted punching dress salmon,a1150405,2021-03-22,2021-03-24,4days,D,Y,수요일,주중,03,2
1020,Gucci,monogram mammont chain bag black,a189801,2020-03-23,2021-03-24,4days,BA,Y,수요일,주중,03,366
1021,Lenic & Mccoy,belt check pattern jacket black,a189801,2020-03-23,2021-03-24,4days,O,Y,수요일,주중,03,366
1022,Sandro,punching lace dress white,a195018,2020-04-09,2021-03-24,4days,D,Y,수요일,주중,03,349
1023,Louis Vuitton,neonoe escale rainbow,a1150595,2021-03-23,2021-03-23,4days,BA,Y,화요일,주중,03,0
1024,Max Mara,simple design trench coat,a1150178,2021-03-21,2021-03-23,7days,O,Y,화요일,주중,03,2
1025,& Other Stories,button basic pattern coat grey,a142142,2019-09-24,2021-03-23,4days,O,Y,화요일,주중,03,546
1026,Fendi,two tone detail sleeveless dress,a1149004,2021-03-11,2021-03-23,4days,D,N,화요일,주중,03,12
1027,Louis Vuitton,verni mini clutch chain bag brown,a1150577,2021-03-23,2021-03-23,7days,BA,Y,화요일,주중,03,0
1028,Fayewoo,lace texture long dress brown 1,a115296,2019-02-02,2021-03-23,4days,D,Y,화요일,주중,03,780
1029,Gucci,GG marmont belt bag bluegreen,a1150246,2021-03-21,2021-03-23,7days,BA,Y,화요일,주중,03,2
1030,Celine,medium c quilted bag,a1150553,2021-03-23,2021-03-23,7days,BA,Y,화요일,주중,03,0
1031,Gucci,marmont gg logo quilted bag Black,a1150157,2021-03-20,2021-03-23,7days,BA,Y,화요일,주중,03,3
1032,Hermes,fabric fourre tout MM tote bag brown,a1150264,2021-03-21,2021-03-23,7days,BA,N,화요일,주중,03,2
1033,More Or Less,basic pattern skirt ivory,a1150510,2021-03-23,2021-03-23,4days,B,Y,화요일,주중,03,0
1034,Marco De Vincenzo,lace flower pattern pleats-skirt pink,a1150510,2021-03-23,2021-03-23,4days,B,Y,화요일,주중,03,0
1035,Comme des Garcons,dot pattern heart logo t-shirts,a1150528,2021-03-23,2021-03-23,7days,T,Y,화요일,주중,03,0
1036,Givenchy,gather basic pattern unbalance wrap-skirt black,a1149714,2021-03-17,2021-03-23,7days,B,Y,화요일,주중,03,6
1037,Thom Browne,button stripe pattern cashmere sweater grey,a1150310,2021-03-22,2021-03-23,7days,T,Y,화요일,주중,03,1
1038,Galon de Blanc,ruffle animal print pattern mermaid trumpet-skirt ivory,a189120,2020-03-19,2021-03-23,7days,B,Y,화요일,주중,03,369
1039,Vivienne Westwood,button basic pattern boat neck blouse black,a189120,2020-03-19,2021-03-23,7days,T,Y,화요일,주중,03,369
1040,Celine,classic box black,a1150377,2021-03-22,2021-03-23,4days,BA,Y,화요일,주중,03,1
1041,Gucci,GG marmont cross bag bluegreen,a1149664,2021-03-16,2021-03-23,7days,BA,Y,화요일,주중,03,7
1042,Daze Dayz,ribbon flower pattern A-Line wrap-dress ivory,a142053,2019-09-23,2021-03-23,4days,D,Y,화요일,주중,03,547
1043,Thom Browne,button stripe pattern singlebreasted-jacket navy,a1131751,2020-11-19,2021-03-23,7days,O,Y,화요일,주중,03,124
1044,Anne Klein,button basic pattern jacket white,a1150060,2021-03-20,2021-03-23,4days,O,Y,화요일,주중,03,3
1045,Yves Saint Laurent,Y clutch black,a1150483,2021-03-23,2021-03-23,4days,BA,N,화요일,주중,03,0
1046,Saint Laurent,chevron quilted cross bag black,a1150470,2021-03-23,2021-03-23,7days,BA,Y,화요일,주중,03,0
1047,Lanvin Collection,gather basic pattern H-Line dress charcoal,a1109902,2020-07-30,2021-03-23,4days,D,Y,화요일,주중,03,236
1048,Jigott,button basic pattern A-Line shirt-dress black,a1150089,2021-03-20,2021-03-23,4days,D,Y,화요일,주중,03,3
1049,Miu Miu,matelasse chain mini bag pink,a1150433,2021-03-23,2021-03-23,4days,BA,Y,화요일,주중,03,0
1050,Sandro,center frill dress navy,a1150433,2021-03-23,2021-03-23,4days,D,Y,화요일,주중,03,0
1051,Tory Burch,leather flaming convertible mini gold chain tassle crossback black,a189377,2020-03-20,2021-03-23,7days,BA,Y,화요일,주중,03,368
1052,Sacai,stripe pattern sweat-shirts navy,a1150434,2021-03-23,2021-03-23,4days,T,Y,화요일,주중,03,0
1053,Celine,leather chain bag brown,a1148022,2021-03-02,2021-03-23,4days,BA,Y,화요일,주중,03,21
1054,Louis Vuitton,epi tote bag black,a1149182,2021-03-13,2021-03-23,7days,BA,Y,화요일,주중,03,10
1055,Chanel,2.55 classic patent bag black,a1150446,2021-03-23,2021-03-23,7days,BA,Y,화요일,주중,03,0
1056,Gucci,jackie 1961 hobo bag ivory,a1150439,2021-03-23,2021-03-23,7days,BA,Y,화요일,주중,03,0
1057,Gucci,vintage web bucket bag brown,a1150428,2021-03-22,2021-03-23,4days,BA,N,화요일,주중,03,1
1058,Mixed,lettering pattern top mint & pocket basic pattern sweat-pants mint,a1150312,2021-03-22,2021-03-22,4days,TP,Y,월요일,주중,03,0
1059,Debb,ruffle square bow dress black&beige 1,a1147161,2021-02-22,2021-03-22,4days,D,Y,월요일,주중,03,28
1060,Sandro,stripe pattern A-Line knit-dress pink,a138296,2019-09-05,2021-03-22,4days,D,N,월요일,주중,03,564
1061,Saint Laurent,chevron quilted cross bag black,a1150365,2021-03-22,2021-03-22,4days,BA,Y,월요일,주중,03,0
1062,Gucci,mamont chain cross body bag black,a1147249,2021-02-23,2021-03-22,7days,BA,Y,월요일,주중,03,27
1063,Louis Vuitton,Mogram neonoe bucket brown bag,a1119556,2020-09-14,2021-03-22,4days,BA,Y,월요일,주중,03,189
1064,Studio Tomboy,pocket basic pattern singlebreasted-jacket beige,a1150349,2021-03-22,2021-03-22,4days,O,Y,월요일,주중,03,0
1065,Gucci,GG marmont belt bag black,a1150346,2021-03-22,2021-03-22,4days,BA,Y,월요일,주중,03,0
1066,Johnny Hates Jazz,frill detail flower pattern long dress,a1150014,2021-03-19,2021-03-22,4days,D,Y,월요일,주중,03,3
1067,Time,unbalance ruffle detail knit dress,a1150333,2021-03-22,2021-03-22,4days,D,Y,월요일,주중,03,0
1068,Dior,croisiere patent lady bag pink,a1150326,2021-03-22,2021-03-22,7days,BA,Y,월요일,주중,03,0
1069,Jill Stuart,fur detail padding long jumper,a1147301,2021-02-23,2021-03-22,4days,O,Y,월요일,주중,03,27
1070,Maje,strap basic pattern trench-coat grey,a1150269,2021-03-21,2021-03-22,7days,O,Y,월요일,주중,03,1
1071,C.holyn,layered chiffon dress pink,a1150297,2021-03-22,2021-03-22,4days,D,N,월요일,주중,03,0
1072,C.holyn,flower lace flare dress pink,a1150297,2021-03-22,2021-03-22,4days,D,N,월요일,주중,03,0
1073,Gucci,wood handle dionysus bag,a1150283,2021-03-21,2021-03-22,7days,BA,Y,월요일,주중,03,1
1074,Burberry,basic pattern wool sweater black,a1150285,2021-03-22,2021-03-22,4days,T,Y,월요일,주중,03,0
1075,Fendi,2jours bag navy,a1149926,2021-03-18,2021-03-21,7days,BA,Y,일요일,휴일,03,3
1076,Karl Lagerfeld,trimming detail pointed coat multi,a1149926,2021-03-18,2021-03-21,7days,O,Y,일요일,휴일,03,3
1077,Alexander Wang,cutout basic pattern H-Line dress black,a1149243,2021-03-13,2021-03-21,4days,D,Y,일요일,휴일,03,8
1078,Greedilous,rough texture pointed dress yellow,a1149900,2021-03-18,2021-03-21,7days,D,Y,일요일,휴일,03,3
1079,Essentiel Antwerp,front slit patterned skirt,a1149972,2021-03-19,2021-03-21,7days,B,Y,일요일,휴일,03,2
1080,Marni,logo point clutch bag black,a1149972,2021-03-19,2021-03-21,7days,BA,Y,일요일,휴일,03,2
1081,Fendi,pattern hobo chain bag gray,a1149889,2021-03-18,2021-03-21,4days,BA,Y,일요일,휴일,03,3
1082,Gucci,dionysus cross bag green,a1150214,2021-03-21,2021-03-21,4days,BA,N,일요일,휴일,03,0
1083,Louis Vuitton,monogram clutch brown,a1118030,2020-09-05,2021-03-20,4days,BA,Y,토요일,휴일,03,196
1084,Fendi,logo point leather tote bag,a146384,2019-10-10,2021-03-20,4days,BA,Y,토요일,휴일,03,527
1085,Salvatore Ferragamo,ginny cross bag black,a1148142,2021-03-03,2021-03-20,7days,BA,Y,토요일,휴일,03,17
1086,Mojosphine,basic pattern H-Line dress beige,a1105980,2020-06-25,2021-03-20,7days,D,Y,토요일,휴일,03,268
1087,Zadig & Voltaire,flower pattern A-Line dress pink,a1150110,2021-03-20,2021-03-20,4days,D,N,토요일,휴일,03,0
1088,Gucci,marmont GG velvet bag purple,a1150107,2021-03-20,2021-03-20,7days,BA,Y,토요일,휴일,03,0
1089,Gucci,microssima emily mini bag cream,a1150099,2021-03-20,2021-03-20,7days,BA,Y,토요일,휴일,03,0
1090,Gucci,basic pattern A-Line dress cream,a1148302,2021-03-05,2021-03-20,7days,D,Y,토요일,휴일,03,15
1091,Saint Laurent,cabas monogramtote bag black,a1149739,2021-03-17,2021-03-20,7days,BA,Y,토요일,휴일,03,3
1092,Debb,frill basic pattern A-Line dress skyblue,a1150070,2021-03-20,2021-03-20,4days,D,Y,토요일,휴일,03,0
1093,Johnny Hates Jazz,ruffle flower pattern A-Line lavender,a1150070,2021-03-20,2021-03-20,4days,D,Y,토요일,휴일,03,0
1094,Mojosphine,embroidery basic pattern slip-dress black,a1148581,2021-03-07,2021-03-20,7days,D,Y,토요일,휴일,03,13
1095,The Clozet,cross halter neck design dress black,a137727,2019-09-01,2021-03-19,4days,D,Y,금요일,주중,03,565
1096,Gucci,dionysus bag,a1149629,2021-03-16,2021-03-19,7days,BA,Y,금요일,주중,03,3
1097,Gucci,dionysus shoulder bag beige,a1148379,2021-03-06,2021-03-19,4days,BA,Y,금요일,주중,03,13
1098,Theory,one button jacket gray,a1149583,2021-03-16,2021-03-19,4days,O,N,금요일,주중,03,3
1099,Michaa,stitch detail midi skirt white,a1149583,2021-03-16,2021-03-19,4days,B,N,금요일,주중,03,3
1100,Prada,daino shoulder bag skin,a1149583,2021-03-16,2021-03-19,4days,BA,N,금요일,주중,03,3
1101,Ted Baker,pleats basic pattern blouse pink,a1149583,2021-03-16,2021-03-19,4days,T,N,금요일,주중,03,3
1102,La maille sezane,frill dots pattern blouse nude,a1149583,2021-03-16,2021-03-19,4days,T,N,금요일,주중,03,3
1103,Michaa,basic pattern A-Line knit-dress nude,a1149583,2021-03-16,2021-03-19,4days,D,N,금요일,주중,03,3
1104,Jigott,button basic pattern blouse white,a1149583,2021-03-16,2021-03-19,4days,T,N,금요일,주중,03,3
1105,It michaa,basic pattern H-Line dress white,a1149583,2021-03-16,2021-03-19,4days,D,N,금요일,주중,03,3
1106,Mine,basic pattern skirt pink,a1149583,2021-03-16,2021-03-19,4days,B,N,금요일,주중,03,3
1107,Mine,punching basic pattern skirt skyblue,a1149583,2021-03-16,2021-03-19,4days,B,N,금요일,주중,03,3
1108,Gucci,Mamont top handle black bag,a1149573,2021-03-16,2021-03-19,7days,BA,N,금요일,주중,03,3
1109,Pearly gates golf,button color block pattern wool cardigan multi,a1150008,2021-03-19,2021-03-19,7days,O,Y,금요일,주중,03,0
1110,Dior,croisiere patent lady bag navy,a1149637,2021-03-16,2021-03-19,7days,BA,Y,금요일,주중,03,3
1111,Louis Vuitton,verni mini clutch chain bag black,a1149970,2021-03-19,2021-03-19,4days,BA,Y,금요일,주중,03,0
1112,Chanel,Tote beige bag,a1149929,2021-03-18,2021-03-19,7days,BA,Y,금요일,주중,03,1
1113,Hackesch,white collar pointed ribbon dress multi,a1149968,2021-03-19,2021-03-19,4days,D,Y,금요일,주중,03,0
1114,Salvatore Ferragamo,ginny mini bag black,a1149922,2021-03-18,2021-03-19,4days,BA,Y,금요일,주중,03,1
1115,Low classic,slim line trench coat beige,a146978,2019-10-13,2021-03-19,4days,O,Y,금요일,주중,03,523
1116,Furla,metropolis cross bag cream,a146978,2019-10-13,2021-03-19,4days,BA,Y,금요일,주중,03,523
1117,Gucci,marmont GG logo quilted bag black,a142390,2019-09-24,2021-03-19,4days,BA,Y,금요일,주중,03,542
1118,Self-portrait,frill lace punching dress,a1114270,2020-08-19,2021-03-19,4days,D,Y,금요일,주중,03,212
1119,Hermes,fabric fourre tout MM tote bag,a197203,2020-04-19,2021-03-18,7days,BA,N,목요일,주중,03,333
1120,Amsale,halterneck spangles dress black,a1149559,2021-03-16,2021-03-18,7days,D,Y,목요일,주중,03,2
1121,El estilo de Claire,sleeveless dress white,a1149559,2021-03-16,2021-03-18,7days,D,Y,목요일,주중,03,2
1122,Miu Miu,matelasse cross body bag black,a1149847,2021-03-18,2021-03-18,4days,BA,Y,목요일,주중,03,0
1123,Gucci,dionysus shoulder bag beige,a1149916,2021-03-18,2021-03-18,7days,BA,Y,목요일,주중,03,0
1124,Dolce & Gabbana,slit basic pattern H-Line dress olive,a1149633,2021-03-16,2021-03-18,4days,D,Y,목요일,주중,03,2
1125,Miu Miu,matelasse shoulder bag black,a1149914,2021-03-18,2021-03-18,4days,BA,Y,목요일,주중,03,0
1126,Kenzo,geometric painting dress blue,a119091,2019-03-29,2021-03-18,4days,D,Y,목요일,주중,03,720
1127,Louis Vuitton,studded shoulder bag black,a1123025,2020-10-07,2021-03-18,7days,BA,Y,목요일,주중,03,162
1128,It michaa,button check pattern H-Line dress black,a1149861,2021-03-18,2021-03-18,7days,D,Y,목요일,주중,03,0
1129,Prada,striped strap cross bag,a1149667,2021-03-16,2021-03-18,4days,BA,Y,목요일,주중,03,2
1130,Louis Vuitton,alma epi pm tote bag black,a1149760,2021-03-17,2021-03-18,7days,BA,Y,목요일,주중,03,1
1131,Burberry,belt basic pattern trench-coat red,a144536,2019-10-01,2021-03-18,7days,O,Y,목요일,주중,03,534
1132,Louis Vuitton,monogram milla pochette MM,a1149467,2021-03-15,2021-03-18,4days,BA,Y,목요일,주중,03,3
1133,Chanel,chevron quilted clutch bag black,a1149790,2021-03-17,2021-03-18,7days,BA,Y,목요일,주중,03,1
1134,Gucci,vintage web GG backpack,a1149774,2021-03-17,2021-03-18,4days,BA,Y,목요일,주중,03,1
1135,Burberry,belt basic pattern wool trench-coat khaki,a161168,2019-12-06,2021-03-18,4days,O,Y,목요일,주중,03,468
1136,Gucci,GG marmont leather belt bag 2,a1149833,2021-03-18,2021-03-18,7days,BA,Y,목요일,주중,03,0
1137,Thom Browne,button stripe pattern singlebreasted-jacket navy,a1111094,2020-08-11,2021-03-18,7days,O,Y,목요일,주중,03,219
1138,Burberry,pocket basic pattern trench-coat navy,a1111094,2020-08-11,2021-03-18,7days,O,Y,목요일,주중,03,219
1139,Miu Miu,lace flower pattern H-Line dress red,a1149653,2021-03-16,2021-03-18,4days,D,Y,목요일,주중,03,2
1140,Saint Laurent,leather tassel cross body bag gray,a1149829,2021-03-18,2021-03-18,4days,BA,Y,목요일,주중,03,0
1141,Balenciaga,motor city bag grey,a1149797,2021-03-17,2021-03-18,7days,BA,N,목요일,주중,03,1
1142,Jill Stuart,trimming pointed tweed dress,a1149819,2021-03-18,2021-03-18,4days,D,N,목요일,주중,03,0
1143,Gucci,small logo pointed cross bag black,a1149402,2021-03-15,2021-03-18,7days,BA,Y,목요일,주중,03,3
1144,Alice & Olivia,see-through lace detail blouse black,a1149461,2021-03-15,2021-03-17,4days,T,N,수요일,주중,03,2
1145,Sandro,embroidery detail lace skirt multi,a1149461,2021-03-15,2021-03-17,4days,B,N,수요일,주중,03,2
1146,Time,draping detail midi skirt gray,a1149461,2021-03-15,2021-03-17,4days,B,N,수요일,주중,03,2
1147,El estilo de Claire,ruffle detail see-through sleeve blouse black,a1149461,2021-03-15,2021-03-17,4days,T,N,수요일,주중,03,2
1148,It michaa,pocket basic pattern skirt green,a1149461,2021-03-15,2021-03-17,4days,B,N,수요일,주중,03,2
1149,roajeu,ruffle basic pattern mermaid trumpet-skirt green,a1149461,2021-03-15,2021-03-17,4days,B,N,수요일,주중,03,2
1150,Alexander Wang,basic pattern skirt grey,a1149461,2021-03-15,2021-03-17,4days,B,N,수요일,주중,03,2
1151,Christian Dior,basic pattern sweater burgundy,a1149461,2021-03-15,2021-03-17,4days,T,N,수요일,주중,03,2
1152,MSGM,basic pattern top black,a1149461,2021-03-15,2021-03-17,4days,T,N,수요일,주중,03,2
1153,Fayewoo,ruffle lace pattern mermaid trumpet-skirt red,a1149461,2021-03-15,2021-03-17,4days,B,N,수요일,주중,03,2
1154,Debb,ribbon basic pattern blouse brown,a1149461,2021-03-15,2021-03-17,4days,T,N,수요일,주중,03,2
1155,Celine,luggage bag black,a1143474,2021-01-17,2021-03-17,4days,BA,Y,수요일,주중,03,59
1156,Mixed,button basic pattern cardigan pink & basic pattern skirt pink,a1147111,2021-02-21,2021-03-17,4days,TP,Y,수요일,주중,03,24
1157,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,수요일,주중,03,0
1158,Gucci,mamont bucket bag ivory,a1129571,2020-11-09,2021-03-17,4days,BA,Y,수요일,주중,03,128
1159,Frontrow,pocket basic pattern jump-suit beige,a136403,2019-08-18,2021-03-17,4days,D,Y,수요일,주중,03,577
1160,It michaa,button check pattern H-Line dress brown,a1149369,2021-03-14,2021-03-17,4days,D,Y,수요일,주중,03,3
1161,Markus Lupfer,embroidery flower pattern blouson pink,a1143685,2021-01-18,2021-03-17,4days,O,Y,수요일,주중,03,58
1162,Givenchy,pandora small black,a1149759,2021-03-17,2021-03-17,7days,BA,Y,수요일,주중,03,0
1163,Gucci,microssima emily mini bag black,a1133478,2020-11-26,2021-03-17,4days,BA,Y,수요일,주중,03,111
1164,Thom Browne,oxford basic tee gray,a1148188,2021-03-04,2021-03-17,4days,T,Y,수요일,주중,03,13
1165,Debb,ruffle detail silky sleeveless dress,a1149542,2021-03-16,2021-03-17,4days,D,Y,수요일,주중,03,1
1166,Elizabeth & James,unbalance hem line sleeveless dress blue,a1149542,2021-03-16,2021-03-17,4days,D,Y,수요일,주중,03,1
1167,Victoria Bay,basic pattern H-Line dress ivory,a1149542,2021-03-16,2021-03-17,4days,D,Y,수요일,주중,03,1
